,level_0,index,ID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B,Image URL,Title,Author,Sales Rank,Date,Review Score
0,0,0,0689871872,0.3936015,30.900887522626967,7.208403999999999,55245,0.025003076923076926,35,42,68,117,91,75,http://ecx.images-amazon.com/images/I/51kbkQ35teL.jpg,Althea Gibson: Young Tennis Player (Childhood of Famous Americans),Beatrice Gormley,2642216.0,"January 6, 2005",0.0
1,1,1,0802774067,0.63139015,90.69953559560119,7.118225,123764,0.014360189573459716,188,236,193,208,240,166,http://ecx.images-amazon.com/images/I/51HWF41QecL.jpg,This Place Is High: The Andes Mountains of South America (Imagine Living Here),Vicki Cobb,2230093.0,"September 1, 1993",4.0
2,2,2,1442496797,0.52514046,122.03733524301441,6.843093,56732,0.018624657534246573,4,185,197,3,90,108,http://ecx.images-amazon.com/images/I/51M%2BHRcUWTL.jpg,The Case of the Weird Blue Chicken: The Next Misadventure (The Chicken Squad),Doreen Cronin,878409.0,"September 30, 2014",4.78
3,3,4,0395899257,0.8414091999999999,112.527854673199,3.9045358,43675,0.007875518672199171,252,252,76,252,252,244,http://ecx.images-amazon.com/images/I/51frwULt2iL.jpg,Curious George's ABCs,H. A. Rey,639464.0,"March 30, 1998",4.59
4,4,5,1432993003,0.38745272,26.844075006283546,7.7601557,47033,0.03247058823529412,77,79,91,27,22,21,http://ecx.images-amazon.com/images/I/51Tbq%2BrdSkL.jpg,"The Assassination of John F. Kennedy: November 22, 1963 (24-Hour History)",Terry Collins,1615778.0,"January 1, 2014",5.0
5,5,6,0152001921,0.589795,64.73602057914812,7.3951635,99807,0.031707920792079215,134,152,217,169,178,231,http://ecx.images-amazon.com/images/I/51FufkdDWvL.jpg,Counting Crocodiles,Judy Sierra,3844613.0,"October 1, 1997",4.88
6,6,7,0310730953,0.46741703,60.50208836341323,7.7344550000000005,77720,0.03522693266832918,74,89,154,180,161,136,http://ecx.images-amazon.com/images/I/61RXLmOTojL.jpg,Our Presidents Rock!,Juliette Turner,194747.0,"September 30, 2014",4.8
7,7,8,1467702137,0.43491766,71.06826421965886,7.615005,113505,0.024167064439140813,146,95,52,181,149,48,http://ecx.images-amazon.com/images/I/51GqhhAxkOL.jpg,Dino-Boarding (Carolrhoda Picture Books) (Junior Library Guild Selection),Lisa Wheeler,264657.0,"September 1, 2014",4.73
8,8,9,1550749536,0.39663586,84.22558944666736,6.9625864,104921,0.027971896955503516,173,46,68,83,92,129,http://ecx.images-amazon.com/images/I/61t5YIw38yL.jpg,"Pioneer Christmas, A: Celebrating in the Backwoods in 1841",Barbara Greenwood,828260.0,"September 1, 2003",4.58
9,9,10,1934968625,0.62541646,88.02920675490826,6.597661,68199,0.019610526315789474,254,253,251,28,130,96,http://ecx.images-amazon.com/images/I/51LgH5gVGtL.jpg,Word Problems (Kumon Math Workbooks Grade 3),Kumon Publishing,13842.0,"June 1, 2009",4.57
